locus	ID_Full	sequence_path	source_sha256	source_class	ID	Haplotype
HML-2_11q22.1	HG00735_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00735_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00735_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00735_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00738_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00738_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG00741_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG00741_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01071_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01071_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01074_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01074_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01081_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01081_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01099_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01099_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01106_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01106_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01150_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01150_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01167_hap2_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01167_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01175_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01175_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01252_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01252_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01346_pat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01346_pat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01361_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01361_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01496_mat_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01496_mat_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
HML-2_11q22.1	HG01530_hap2_hprc_r2_v1.0.1_HML-2_11q22.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_11q22.1/HG01530_hap2_hprc_r2_v1.0.1_HML-2_11q22.1.fa				
