source	rate_label	rate_per_generation	Ne	scenario	locus	n_typed	age_bound_Ma	p_all_I	p_all_II	p_sample_mixed	p_all_I_given_TypeI_detected
Dumont_Eichler_2013	high_across_families	1.05e-05	10000	older_loci_unlimited_time	1q22	348	2.0	0.390141470084662	0.04674085060446524	0.5631176793108729	0.40927115185000024
Dumont_Eichler_2013	high_across_families	1.05e-05	10000	older_loci_unlimited_time	3q13.2	347	2.0	0.39014354000338075	0.046797256721017394	0.5630592032756018	0.4092975421590807
Dumont_Eichler_2013	high_across_families	1.05e-05	10000	older_loci_unlimited_time	3q27.2	369	2.0	0.39010059068412356	0.04560693916946839	0.5642924701464082	0.4087420651871152
Dumont_Eichler_2013	high_across_families	1.05e-05	10000	older_loci_unlimited_time	5q33.3	481	2.0	0.3899428038680641	0.04080998086595226	0.5692472152659837	0.4065334251706483
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	10p12.1	427	2.91	0.006119816973191808	0.9730428143754287	0.020837368651379418	0.22701987731292095
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	11q23.3	523	24.18	0.07150216288459232	0.9084153972532389	0.020082439862168733	0.7807225313003942
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	12q13.2	237	2.0	0.003299578238184801	0.9777887570410371	0.0189116647207781	0.14855441653044987
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	19p12e	489	23.47	0.06939061343506377	0.9106773355489239	0.019932051016012253	0.776853376032804
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	1p31.1b	67	2.0	0.003331895498568338	0.9817311157338726	0.014936988767559	0.1823808969410385
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	1q22	348	2.0	0.0032955182468469837	0.9765898791755727	0.020114602577580354	0.1407732267408153
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	1q23.3	350	14.14	0.04118990905334826	0.9392799008462055	0.01953019010044621	0.6783570782554335
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	21q21.1	181	6.27	0.016745022244261894	0.9652657529088782	0.01798922484685994	0.48208968515520145
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	22q11.21	217	3.34	0.007485594173317091	0.9738003870147408	0.018714018811942124	0.28571392171055143
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	3p25.3	381	21.96	0.06488476193285282	0.915818608722998	0.019296629344149108	0.7707732189807498
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	3q12.3	371	9.98	0.028340392997964276	0.9516899677362071	0.01996963926582862	0.5866357704588957
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	3q13.2	347	2.0	0.003295543226685272	0.9765988579031821	0.020105598870132635	0.14082830714204353
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	3q27.2	369	2.0	0.003295024950398525	0.9764070683347787	0.020297906714822678	0.13966153071412396
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	4q32.3	364	16.73	0.04910335271238912	0.9314105790400264	0.019486068247584476	0.7159027153916953
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	5p12	504	24.24	0.07168063148071682	0.9083484504174821	0.019970918101801072	0.7820995041243645
Harpak_2017	lower_95CI	8e-08	10000	individual_older_upper_bounds	5q33.3	481	2.0	0.0032931215848761223	0.9755803003429248	0.021126578072199087	0.13485512234471686
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	10p12.1	427	5.82	0.015318110142693901	0.9640103813858416	0.020671508471464484	0.42562579800908823
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	11q23.3	523	48.36	0.14063645496650473	0.8407764078071	0.018587137226395378	0.8832639248342236
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	12q13.2	237	2.0	0.003299578238184801	0.9777887570410371	0.0189116647207781	0.14855441653044987
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	19p12e	489	46.94	0.13672298877610012	0.8447871037749964	0.018489907448903442	0.8808738970884247
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	1p31.1b	67	2.0	0.003331895498568338	0.9817311157338726	0.014936988767559	0.1823808969410385
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	1q22	348	2.0	0.0032955182468469837	0.9765898791755727	0.020114602577580354	0.1407732267408153
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	1q23.3	350	28.28	0.08360726108132438	0.8977265561503195	0.018666182768356188	0.8174874917110319
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	21q21.1	181	12.54	0.0362764395409683	0.946091642807544	0.01763191765148775	0.6729279360426301
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	22q11.21	217	6.68	0.018031317676914915	0.9634421392521942	0.018526543070890855	0.4932268275024045
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	3p25.3	381	43.92	0.12834145449800566	0.8536713807307533	0.01798716477124096	0.8770769186433421
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	3q12.3	371	19.96	0.0588810453830017	0.9217769896816832	0.019341964935315148	0.7527330531437505
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	3q13.2	347	2.0	0.003295543226685272	0.9765988579031821	0.020105598870132635	0.14082830714204353
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	3q27.2	369	2.0	0.003295024950398525	0.9764070683347787	0.020297906714822678	0.13966153071412396
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	4q32.3	364	33.46	0.09867186715232591	0.8828578379315691	0.018470294916104968	0.8423258151465979
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	5p12	504	48.48	0.14096658535976064	0.8405530440347495	0.018480370605489904	0.8840970622887437
Harpak_2017	lower_95CI	8e-08	10000	double_older_upper_bounds	5q33.3	481	2.0	0.0032931215848761223	0.9755803003429248	0.021126578072199087	0.13485512234471686
Harpak_2017	lower_95CI	8e-08	10000	older_loci_unlimited_time	12q13.2	237	2.0	0.003299578238184801	0.9777887570410371	0.0189116647207781	0.14855441653044987
Harpak_2017	lower_95CI	8e-08	10000	older_loci_unlimited_time	1p31.1b	67	2.0	0.003331895498568338	0.9817311157338726	0.014936988767559	0.1823808969410385
