outcome	exposure_id	old_p_pedigree_cluster	refit_model_status	refit_p_pedigree_cluster	refit_beta	refit_n	was_refit	analysis_p_pedigree_cluster	q_bh_finite_model_suite	adjustment	analysis_model_status	analysis_n	included_in_bh_family	bh_family_size	bh_exclusion_reason
Mandage2017_EBV_in_silico	HML-2_11q22.1::structural::solo_ltr_vs_any_provirus	0.347439916836424	NA	NA	NA	NA	False	0.347439916836424	0.9162373183884096	NA	fit	98	True	174	
Mandage2017_EBV_in_silico	HML-2_11q22.1::structural::solo_ltr_vs_provirus	0.34905384174313	NA	NA	NA	NA	False	0.34905384174313	0.9162373183884096	NA	fit	97	True	174	
Houldcroft2014_EBV_qPCR	general::type2_loci_present	0.177998827661012	fit	0.3574964493362436	-0.0057165211096477	47.0	True	0.3574964493362436	0.9162373183884096	NA	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_6q14.1::structural::solo_ltr_vs_any_provirus	0.365293535745606	NA	NA	NA	NA	False	0.365293535745606	0.9162373183884096	NA	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_12q13.2::orf::orf_gag_pro	0.371473892885083	NA	NA	NA	NA	False	0.371473892885083	0.9162373183884096	HML-2_12q13.2::orf::orf_gag_pro::provirus_dosage_adjustment	fit	30	True	174	
Houldcroft2014_EBV_qPCR	HML-2_12q13.2::orf::orf_pro	0.371473892885083	NA	NA	NA	NA	False	0.371473892885083	0.9162373183884096	HML-2_12q13.2::orf::orf_pro::provirus_dosage_adjustment	fit	30	True	174	
Mandage2017_EBV_in_silico	general::type2_compatible_pol_units	0.839080912039419	fit	0.3778187238027764	-0.115060016471226	116.0	True	0.3778187238027764	0.9162373183884096	general::type2_physical_units	fit	116	True	174	
Houldcroft2014_EBV_qPCR	HML-2_6q14.1::structural::solo_ltr_vs_provirus	0.379152702716471	NA	NA	NA	NA	False	0.379152702716471	0.9162373183884096	NA	fit	46	True	174	
Im2012_intrinsic_growth	HML-2_12q14.1::structural::solo_ltr_vs_any_provirus	0.383217747538706	NA	NA	NA	NA	False	0.383217747538706	0.9162373183884096	NA	fit	34	True	174	
Im2012_intrinsic_growth	HML-2_12q14.1::structural::solo_ltr_vs_provirus	0.383217747538706	NA	NA	NA	NA	False	0.383217747538706	0.9162373183884096	NA	fit	34	True	174	
Im2012_intrinsic_growth	general::type1_compatible_pol_units	0.721094053266106	fit	0.3859592772703554	-0.1741607666296399	34.0	True	0.3859592772703554	0.9162373183884096	general::type1_physical_units	fit	34	True	174	
Houldcroft2014_EBV_qPCR	HML-2_12q14.1::structural::solo_ltr_vs_any_provirus	0.400139518826615	NA	NA	NA	NA	False	0.400139518826615	0.9162373183884096	NA	fit	47	True	174	
Houldcroft2014_EBV_qPCR	HML-2_12q14.1::structural::solo_ltr_vs_provirus	0.400139518826615	NA	NA	NA	NA	False	0.400139518826615	0.9162373183884096	NA	fit	47	True	174	
Mandage2017_EBV_in_silico	HML-2_1p31.1b::max_haplotype_cn	0.401575149370578	NA	NA	NA	NA	False	0.401575149370578	0.9162373183884096	NA	fit	116	True	174	
Im2012_intrinsic_growth	HML-2_19p12c::structural::provirus_vs_absent	0.424854114595056	NA	NA	NA	NA	False	0.424854114595056	0.9162373183884096	NA	fit	34	True	174	
Im2012_intrinsic_growth	general::type1_loci_present	0.556040644691198	fit	0.4274134882644835	0.1952645288871657	34.0	True	0.4274134882644835	0.9162373183884096	NA	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_1q22::orf::orf_gag_pro_pol	0.430943150344412	NA	NA	NA	NA	False	0.430943150344412	0.9162373183884096	HML-2_1q22::orf::orf_gag_pro_pol::provirus_dosage_adjustment	fit	116	True	174	
Houldcroft2014_EBV_qPCR	general::type1_type2_log_ratio	0.312715286165396	fit	0.4319225841596698	0.0824724343751155	47.0	True	0.4319225841596698	0.9162373183884096	NA	fit	47	True	174	
Houldcroft2014_EBV_qPCR	general::type1_fraction	0.310757868530946	fit	0.4334901387006538	0.5288316465316545	47.0	True	0.4334901387006538	0.9162373183884096	NA	fit	47	True	174	
Im2012_intrinsic_growth	general::type1_compatible_np9_units	0.441548224077762	fit	0.441548224077735	-0.2506571838773498	34.0	True	0.441548224077735	0.9162373183884096	general::type1_physical_units	fit	34	True	174	
Im2012_intrinsic_growth	HML-2_7p22.1::structural::multi_vs_single	0.442321464049577	fit	0.4423214640495724	0.2174343488714279	34.0	True	0.4423214640495724	0.9162373183884096	NA	fit	34	True	174	
Im2012_intrinsic_growth	HML-2_7p22.1::array_haplotype_count	0.442321464049577	NA	NA	NA	NA	False	0.442321464049577	0.9162373183884096	NA	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_19p12b::structural::provirus_vs_absent	0.453369196232386	NA	NA	NA	NA	False	0.453369196232386	0.9280734134639432	NA	fit	116	True	174	
Houldcroft2014_EBV_qPCR	HML-2_1p36.21c::orf::orf_secondary	0.471737166843874	NA	NA	NA	NA	False	0.471737166843874	0.9372879000413128	HML-2_1p36.21c::orf::orf_secondary::provirus_dosage_adjustment	fit	47	True	174	
Mandage2017_EBV_in_silico	HML-2_1p31.1a::structural::solo_ltr_vs_provirus	0.486002720358039	NA	NA	NA	NA	False	0.486002720358039	0.9372879000413128	NA	fit	116	True	174	
Im2012_intrinsic_growth	general::type2_compatible_pro_units	0.476438764235025	fit	0.4905265378549392	0.1017224808804538	34.0	True	0.4905265378549392	0.9372879000413128	general::type2_physical_units	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_12q14.1::structural::solo_ltr_vs_any_provirus	0.491192652794575	NA	NA	NA	NA	False	0.491192652794575	0.9372879000413128	NA	fit	116	True	174	
Mandage2017_EBV_in_silico	HML-2_12q14.1::structural::solo_ltr_vs_provirus	0.491192652794575	NA	NA	NA	NA	False	0.491192652794575	0.9372879000413128	NA	fit	116	True	174	
Im2012_intrinsic_growth	HML-2_22q11.21::orf::orf_gag_pro	0.496968592325078	NA	NA	NA	NA	False	0.496968592325078	0.9372879000413128	HML-2_22q11.21::orf::orf_gag_pro::provirus_dosage_adjustment	fit	34	True	174	
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::any_array	0.499941393527798	NA	NA	NA	NA	False	0.499941393527798	0.9372879000413128	NA	fit	47	True	174	
Im2012_intrinsic_growth	HML-2_1p36.21c::orf::orf_secondary	0.500964222435874	NA	NA	NA	NA	False	0.500964222435874	0.9372879000413128	HML-2_1p36.21c::orf::orf_secondary::provirus_dosage_adjustment	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_10p12.1::structural::solo_ltr_vs_any_provirus	0.523348995353381	NA	NA	NA	NA	False	0.523348995353381	0.958555002015666	NA	fit	116	True	174	
Mandage2017_EBV_in_silico	HML-2_10p12.1::structural::solo_ltr_vs_provirus	0.523348995353381	NA	NA	NA	NA	False	0.523348995353381	0.958555002015666	NA	fit	116	True	174	
Houldcroft2014_EBV_qPCR	HML-2_1q22::orf::orf_pol	0.535103520747497	NA	NA	NA	NA	False	0.535103520747497	0.9614224359065882	HML-2_1q22::orf::orf_pol::provirus_dosage_adjustment	fit	47	True	174	
Mandage2017_EBV_in_silico	HML-2_12q13.2::structural::solo_ltr_vs_absent	0.542328924479502	NA	NA	NA	NA	False	0.542328924479502	0.9614224359065882	NA	fit	38	True	174	
Mandage2017_EBV_in_silico	HML-2_12q13.2::structural::solo_ltr_vs_provirus	0.543442355024399	NA	NA	NA	NA	False	0.543442355024399	0.9614224359065882	NA	fit	57	True	174	
Im2012_intrinsic_growth	general::type1_compatible_env_units	0.552693355037211	fit	0.5526933550372145	0.2028645053135951	34.0	True	0.5526933550372145	0.9614224359065882	general::type1_physical_units	fit	34	True	174	
Im2012_intrinsic_growth	general::type1_physical_units	0.562712957341129	fit	0.5627129573411147	0.0773641531964468	34.0	True	0.5627129573411147	0.9614224359065882	NA	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_19p12c::orf::orf_env	0.562796597805911	NA	NA	NA	NA	False	0.562796597805911	0.9614224359065882	HML-2_19p12c::orf::orf_env::provirus_dosage_adjustment	fit	75	True	174	
Mandage2017_EBV_in_silico	HML-2_5p13.3::orf::orf_env	0.563592462428	NA	NA	NA	NA	False	0.563592462428	0.9614224359065882	HML-2_5p13.3::orf::orf_env::provirus_dosage_adjustment	fit	116	True	174	
Im2012_intrinsic_growth	HML-2_5p13.3::orf::orf_env	0.575119546571112	NA	NA	NA	NA	False	0.575119546571112	0.9715611757609076	HML-2_5p13.3::orf::orf_env::provirus_dosage_adjustment	fit	34	True	174	
Houldcroft2014_EBV_qPCR	HML-2_1q22::orf::orf_gag	0.582646862361223	fit	0.5826468623612161	-0.0148544897555397	47.0	True	0.5826468623612161	0.9748130197197268	HML-2_1q22::orf::orf_gag::provirus_dosage_adjustment	fit	47	True	174	
Mandage2017_EBV_in_silico	HML-2_12q13.2::structural::any_provirus_vs_absent	0.597910582801413	NA	NA	NA	NA	False	0.597910582801413	0.9814758623343948	NA	fit	72	True	174	
Mandage2017_EBV_in_silico	HML-2_12q13.2::structural::provirus_vs_absent	0.597910582801413	NA	NA	NA	NA	False	0.597910582801413	0.9814758623343948	NA	fit	72	True	174	
Im2012_intrinsic_growth	HML-2_7p22.1::compatible_gag_units	0.622698536788111	NA	NA	NA	NA	False	0.622698536788111	0.9825156698250392	HML-2_7p22.1::total_physical_cn	fit	34	True	174	
Im2012_intrinsic_growth	general::type2_compatible_gag_units	0.718331364592945	fit	0.6447221375403258	-0.0735778909831533	34.0	True	0.6447221375403258	0.9825156698250392	general::type2_physical_units	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_12q13.2::structural::retained_element_vs_absent	0.645962221996961	NA	NA	NA	NA	False	0.645962221996961	0.9825156698250392	NA	fit	116	True	174	
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::total_physical_cn	0.662577261071565	NA	NA	NA	NA	False	0.662577261071565	0.9825156698250392	NA	fit	47	True	174	
Mandage2017_EBV_in_silico	HML-2_5q33.3::structural::solo_ltr_vs_any_provirus	0.663297110120348	NA	NA	NA	NA	False	0.663297110120348	0.9825156698250392	NA	fit	115	True	174	
Im2012_intrinsic_growth	HML-2_5p13.3::orf::orf_secondary	0.663703999451449	NA	NA	NA	NA	False	0.663703999451449	0.9825156698250392	HML-2_5p13.3::orf::orf_secondary::provirus_dosage_adjustment	fit	34	True	174	
Mandage2017_EBV_in_silico	general::type1_physical_units	0.65620508726968	fit	0.682328960548857	0.0223337971720247	116.0	True	0.682328960548857	0.9825156698250392	NA	fit	116	True	174	
Im2012_intrinsic_growth	general::type2_compatible_pol_units	0.350161997994573	fit	0.6902389148918134	-0.114592658628244	34.0	True	0.6902389148918134	0.9825156698250392	general::type2_physical_units	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_5q33.3::structural::solo_ltr_vs_provirus	0.693482878139203	NA	NA	NA	NA	False	0.693482878139203	0.9825156698250392	NA	fit	114	True	174	
Mandage2017_EBV_in_silico	general::type2_compatible_pro_units	0.761565951400497	fit	0.7000667591487146	-0.0281069360656725	116.0	True	0.7000667591487146	0.9825156698250392	general::type2_physical_units	fit	116	True	174	
Im2012_intrinsic_growth	general::type2_compatible_env_units	0.621437729376302	fit	0.7047684508696915	0.0803325995441376	34.0	True	0.7047684508696915	0.9825156698250392	general::type2_physical_units	fit	34	True	174	
Mandage2017_EBV_in_silico	HML-2_1p31.1b::compatible_np9_units	0.710705894015313	NA	NA	NA	NA	False	0.710705894015313	0.9825156698250392	HML-2_1p31.1b::total_internal_fragment_cn	fit	116	True	174	
Mandage2017_EBV_in_silico	HML-2_1p31.1b::total_internal_fragment_cn	0.710705894015313	NA	NA	NA	NA	False	0.710705894015313	0.9825156698250392	NA	fit	116	True	174	
