outcome	exposure_id	adjustment	model_status	n	beta	se_pedigree_cluster	p_pedigree_cluster	ci95_low	ci95_high	standardized_beta	population_model_status	population_beta	population_p_cluster	q_bh_51_model_suite
Houldcroft2014_EBV_qPCR	general::type2_compatible_pro_units	general::type2_physical_units	fit	47	-0.023773229255588328	0.016386585676661024	0.15409919165648728	-0.05681992876168901	0.009273470250512353	-0.3223055817056293	fit	-0.024499783360007243	0.09567686716754495	0.6213765992986332
Houldcroft2014_EBV_qPCR	general::type1_minus_type2_units		fit	47	0.005410320713050343	0.003826290227653967	0.1645657308562496	-0.0023061289410410664	0.013126770367141754	0.20409896439891484	fit	0.0058646672870912115	0.11211888882833751	0.6213765992986332
Mandage2017_EBV_in_silico	general::type2_compatible_env_units	general::type2_physical_units	fit	116	0.10413793381101372	0.07592772204852177	0.172923838434904	-0.04628857784661314	0.25456444546864054	0.13033385402990516	fit	0.08645597025069171	0.28361166732501475	0.6213765992986332
Mandage2017_EBV_in_silico	general::type2_compatible_rec_units	general::type2_physical_units	fit	116	0.07409192859235295	0.055157518753392594	0.1818732485250665	-0.035185064235914304	0.1833689214206202	0.22159651710939304	fit	0.06421923705308012	0.270957983535352	0.6213765992986332
Houldcroft2014_EBV_qPCR	general::type1_compatible_gag_units	general::type1_physical_units	fit	47	-0.017955195468696544	0.013259236514017779	0.1827578233231274	-0.04469499431423292	0.008784603376839836	-0.23657464437938983	fit	-0.019609078469495604	0.10702452518734375	0.6213765992986332
Houldcroft2014_EBV_qPCR	general::type1_physical_units		fit	47	-0.00946248016724693	0.007237468765500975	0.19801474874975977	-0.024058226968787774	0.0051332666342939134	-0.1423951024555103	fit	-0.010573858324510448	0.1654695434048643	0.6230861731194581
Houldcroft2014_EBV_qPCR	general::type2_loci_present		fit	47	-0.007020560061693519	0.005488349564027279	0.2076953910398194	-0.01808887181410276	0.004047751690715723	-0.14458492493883301	fit	-0.007668103075361347	0.13081845820878152	0.6230861731194581
Houldcroft2014_EBV_qPCR	general::type1_compatible_pol_units	general::type1_physical_units	fit	47	0.030961477736364623	0.024982306297378243	0.22194286319287007	-0.01942014449227822	0.08134309996500746	0.26816964339246047	fit	0.026090871313001134	0.3151016943644857	0.6288381123797985
Houldcroft2014_EBV_qPCR	general::type2_compatible_env_units	general::type2_physical_units	fit	47	0.015762309219215495	0.01312936307936189	0.23650224514489732	-0.010715574883763429	0.04224019332219442	0.186099330791987	fit	0.0192825066219438	0.17049702358739544	0.6348218159152507
Houldcroft2014_EBV_qPCR	general::type1_fraction		fit	47	0.723653482423629	0.6922312799646726	0.30168282117015927	-0.6723639399426181	2.119670904789876	0.12772656094776827	fit	0.7662230653872646	0.24352111786386965	0.7369633377962552
Houldcroft2014_EBV_qPCR	general::type1_type2_log_ratio		fit	47	0.10954159401759041	0.10517484888756282	0.30345549203375216	-0.10256370328892271	0.3216468913241035	0.12667125765140913	fit	0.11566338416184634	0.2501981561641782	0.7369633377962552
Mandage2017_EBV_in_silico	general::type2_compatible_pol_units	general::type2_physical_units	fit	116	-0.11528471915513666	0.12999267082151106	0.3770402905091134	-0.37282364545456964	0.14225420714429632	-0.10794341619840767	fit	-0.03535049021047841	0.7987359632241574	0.8558227452516769
