alignment	record	reason
15p13a_carrier_kcon.aln.fa	hg002v1.1.pat.PanSN#c2	unrecognized_or_reference_alignment_record
15p13a_carrier_kcon.aln.fa	HG00096_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG00096_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG00171_h1	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG00171_h2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG00513_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG00731_h2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG00733_h2	no_included_public_present_original_source_slot
15p13a_carrier_kcon.aln.fa	HG01114_h2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG02282_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG02554_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG02769_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG02818_h1	no_included_public_present_original_source_slot
15p13a_carrier_kcon.aln.fa	HG02953_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG02953_h2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG03248_h1	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG03452_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG03452_h2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG03456_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG03520_h2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	HG03732_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	HG04217_h2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	NA12329_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	NA18534_h1	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	NA18989_h1	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	NA18989_h2	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	NA19036_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	NA19239_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	NA19239_h2	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	NA19240_h2	no_included_public_present_original_source_slot
15p13a_carrier_kcon.aln.fa	NA19317_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	NA19384_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	NA19705_h1	physical_locus_remains_unresolved_or_pooled
15p13a_carrier_kcon.aln.fa	NA19983_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	NA20509_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13a_carrier_kcon.aln.fa	NA20847_h1	source_identity_ambiguous_0_exact_matches_of_1_candidates
15p13b_carrier_kcon.aln.fa	HG00140_hap2#c1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG00235_hap2#c1	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG00235_hap2#c2	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG00642_mat	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG00658_mat	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG01123_mat	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG01175_mat	physical_locus_remains_unresolved_or_pooled
15p13b_carrier_kcon.aln.fa	HG01358_mat#c1	physical_locus_remains_unresolved_or_pooled
