observation	focal_count	rival_classes	rival_count_each	conditioned_total_units	ascertainment_scenario	focal_ascertainment_odds_low	focal_ascertainment_odds_high	dirichlet_alpha_per_lesion	source_opportunity_cv	model	simulations	posterior_importance_effective_sample_size	model_evidence_method	log_marginal_likelihood	equal_model_prior_share	likelihood_ratio_effect_vs_source_only
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	5.0	0.4472135954999579	source_opportunity_only	1000000	175540.58143995496	deterministic_Gauss-Legendre_quadrature	-16.548696839124375	0.00013092172070314074	7637.151978367713
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	5.0	0.4472135954999579	source_plus_focal_effect	1000000	13.692455319615776	deterministic_Gauss-Legendre_quadrature	-7.607916804163248	0.9998690782792965	7637.151978367713
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	20.0	0.22360679774997896	source_opportunity_only	1000000	9956.324005472192	deterministic_Gauss-Legendre_quadrature	-20.58867461245086	1.5310432857198124e-06	653148.3977519096
inclusive_ceiling	17	6	1	23	narrow	0.67	1.5	20.0	0.22360679774997896	source_plus_focal_effect	1000000	14.528954149272996	deterministic_Gauss-Legendre_quadrature	-7.199114974648078	0.9999984689567146	653148.3977519096
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.1	3.162277660168379	source_opportunity_only	1000000	913722.9087232194	deterministic_Gauss-Legendre_quadrature	-17.407004797007062	0.40097963199317627	1.4938922583903613
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.1	3.162277660168379	source_plus_focal_effect	1000000	936908.3080845346	deterministic_Gauss-Legendre_quadrature	-17.005619829101512	0.5990203680068221	1.4938922583903613
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.25	2.0	source_opportunity_only	1000000	683636.7980648287	deterministic_Gauss-Legendre_quadrature	-14.044911633219677	0.2951264330910853	2.388378294435483
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.25	2.0	source_plus_focal_effect	1000000	718609.100626781	deterministic_Gauss-Legendre_quadrature	-13.174297035480386	0.704873566908914	2.388378294435483
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.5	1.414213562373095	source_opportunity_only	1000000	425231.10753875005	deterministic_Gauss-Legendre_quadrature	-12.400939593203134	0.19458302608227512	4.139194410396165
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	0.5	1.414213562373095	source_plus_focal_effect	1000000	312036.27822726505	deterministic_Gauss-Legendre_quadrature	-10.98043841116122	0.8054169739177244	4.139194410396165
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	1.0	1.0	source_opportunity_only	1000000	184595.351274595	deterministic_Gauss-Legendre_quadrature	-11.551608084229503	0.10645419753266896	8.393711316015663
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	1.0	1.0	source_plus_focal_effect	1000000	29813.166148485685	deterministic_Gauss-Legendre_quadrature	-9.42412531161601	0.8935458024673302	8.393711316015663
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	2.0	0.7071067811865475	source_opportunity_only	1000000	31132.384650104723	deterministic_Gauss-Legendre_quadrature	-11.410898072818895	0.0481555831101473	19.76602411215078
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	2.0	0.7071067811865475	source_plus_focal_effect	1000000	1076.4976431917912	deterministic_Gauss-Legendre_quadrature	-8.42693356298551	0.9518444168898523	19.76602411215078
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	5.0	0.4472135954999579	source_opportunity_only	1000000	364.3620115689363	deterministic_Gauss-Legendre_quadrature	-11.985482092529562	0.013864943215799386	71.12434875755419
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	5.0	0.4472135954999579	source_plus_focal_effect	1000000	7.708080254232327	deterministic_Gauss-Legendre_quadrature	-7.721052356433539	0.9861350567842004	71.12434875755419
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	20.0	0.22360679774997896	source_opportunity_only	1000000	7.644496761834242	deterministic_Gauss-Legendre_quadrature	-13.299289409930344	0.002546805683212765	391.6487232973785
inclusive_ceiling	17	6	1	23	broad	0.25	4.0	20.0	0.22360679774997896	source_plus_focal_effect	1000000	18.659371048647916	deterministic_Gauss-Legendre_quadrature	-7.328924085927392	0.9974531943167874	391.6487232973785
