observation	ascertainment_scenario	dirichlet_alpha_per_lesion	model	parameter	q025	q25	median	q75	q975
orthology_aware_floor	broad	0.25	source_opportunity_only	focal_ascertainment	0.34306985770738807	1.075721554154682	1.917836948154861	2.8784171551333353	3.8789879629642354
orthology_aware_floor	broad	0.25	source_opportunity_only	focal_probability	0.49637215719261407	0.6320612441308833	0.6987323490336232	0.7603539387865624	0.857145203265837
orthology_aware_floor	broad	0.25	source_plus_focal_effect	source_ratio	0.14927742971165742	0.6616943297781055	1.5344094773257335	3.4856184106757393	15.36541206831467
orthology_aware_floor	broad	0.25	source_plus_focal_effect	focal_effect	1.2312899802237707	4.122139120995324	10.20512019377913	22.611096364139634	46.12540183692408
orthology_aware_floor	broad	0.25	source_plus_focal_effect	focal_ascertainment	0.27736292650064065	0.6027552080134757	1.204913228094459	2.226921537077005	3.7715658770607954
orthology_aware_floor	broad	0.25	source_plus_focal_effect	focal_probability	0.5220165227074693	0.6587061372438456	0.724995558371493	0.7853446546775661	0.8784508091388052
orthology_aware_floor	broad	0.5	source_opportunity_only	source_ratio	2.028619436285782	3.847415156622088	5.629561076866269	8.680361855948165	23.58923977267412
orthology_aware_floor	broad	0.5	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
orthology_aware_floor	broad	0.5	source_opportunity_only	focal_ascertainment	0.5567231265010539	1.601468899890444	2.4274568088025474	3.2137185683829514	3.921035457575559
orthology_aware_floor	broad	0.5	source_opportunity_only	focal_probability	0.47811808703101616	0.6099819665138324	0.6759476141878864	0.7367190284923268	0.8354116386408735
orthology_aware_floor	broad	0.5	source_plus_focal_effect	source_ratio	0.15788631717438806	0.6242274771024304	1.2989768362675098	2.6276862636619316	9.033055904368615
orthology_aware_floor	broad	0.5	source_plus_focal_effect	focal_effect	1.3678791894530324	5.083922115102203	11.78362487817866	24.115114123472946	46.29047398400513
orthology_aware_floor	broad	0.5	source_plus_focal_effect	focal_ascertainment	0.28221879011621004	0.6442373317604548	1.2728475728173503	2.289483928230232	3.7894802905006952
orthology_aware_floor	broad	0.5	source_plus_focal_effect	focal_probability	0.5198741304734116	0.6559382759263235	0.7222596338203977	0.7819223684988927	0.8748812765635191
orthology_aware_floor	broad	1.0	source_opportunity_only	source_ratio	1.7295184112037576	3.0136562262906956	4.106400319384156	5.70020775904913	11.514077960712884
orthology_aware_floor	broad	1.0	source_opportunity_only	focal_effect	1.0	1.0	1.0	1.0	1.0
orthology_aware_floor	broad	1.0	source_opportunity_only	focal_ascertainment	0.9997069246224443	2.1482202443165015	2.8645326817473835	3.4597615970333577	3.9459508022471366
orthology_aware_floor	broad	1.0	source_opportunity_only	focal_probability	0.4547044985459913	0.5805333786372215	0.6438553334499275	0.7031722458994485	0.8003787850658722
orthology_aware_floor	broad	1.0	source_plus_focal_effect	source_ratio	0.18333607205748634	0.6210524164034233	1.15209176842543	2.0472461341028607	5.431527477226384
orthology_aware_floor	broad	1.0	source_plus_focal_effect	focal_effect	1.5995648853200255	5.991832660009064	12.868285954908343	24.6618738910143	46.33123366174245
orthology_aware_floor	broad	1.0	source_plus_focal_effect	focal_ascertainment	0.28673987651333366	0.6765412906140819	1.320151527087452	2.3340699443448227	3.7751485799806304
