feature	locus	lr_positive_people	sr_callable_lr_positive_people	sr_recovered_people	sr_unknown_people	conditional_positive_concordance	overall_workflow_recovery	ci_low	ci_high	missed_callable_people
gag_pro_pol	HML-2_3q24_hg38	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_3q27.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_4p16.1a	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_4p16.1b	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_4p16.3b	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_4p16.3c	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_4q13.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_4q32.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_4q32.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_4q35.2_hg38	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_5p12	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_5p13.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_5q11.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_5q33.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_5q33.3	266	266	266	0	1.0	1.0	0.9857640155168048	1.0	0
gag_pro_pol	HML-2_6p21.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_6p22.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_6q11.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_6q14.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_6q25.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_7p22.1	256	256	0	0	0.0	0.0	0.0	0.01478385642587143	256
gag_pro_pol	HML-2_7q11.21	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_7q22.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_7q34	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_8p23.1a_hg38	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_8p23.1b	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_8p23.1c	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_8p23.1e	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_8q11.21	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_8q11.23_new	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_8q24.3a	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_8q24.3c	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_9q34.11	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_9q34.3	0	0	0	0	nan	nan	nan	nan	0
