outcome	exposure_id	adjustment	model_status	n	beta	se_pedigree_cluster	p_pedigree_cluster	ci95_low	ci95_high	standardized_beta	population_model_status	population_beta	population_p_cluster	q_bh_51_model_suite
Mandage2017_EBV_in_silico	general::type2_compatible_env_units	general::type2_physical_units	fit	116	0.10448223894014591	0.07904557742293074	0.18890531010788875	-0.052121306548755436	0.2610857844290473	0.13076476919021074	fit	0.0861561250645394	0.3000838231197631	0.6919334434003365
Houldcroft2014_EBV_qPCR	general::type1_physical_units		fit	47	-0.009462480167246903	0.007237468765502194	0.19801474874983524	-0.024058226968790206	0.005133266634296401	-0.14239510245550988	fit	-0.010573858324510275	0.16546954340487707	0.6919334434003365
Im2012_intrinsic_growth	general::type1_type2_log_ratio		fit	34	-2.225206547914917	1.7807628936952007	0.22111417520518598	-5.862009556911914	1.4115964610820804	-0.23521366422705559	fit	-2.6285577972229808	0.10402443786577512	0.6919334434003365
Houldcroft2014_EBV_qPCR	general::type1_compatible_pol_units	general::type1_physical_units	fit	47	0.03096147773636547	0.024982306297378108	0.221942863192855	-0.0194201444922771	0.08134309996500805	0.2681696433924678	fit	0.02609087131300175	0.31510169436447605	0.6919334434003365
Im2012_intrinsic_growth	general::type1_fraction		fit	34	-14.24158555446823	11.418625068543275	0.22196457230985112	-37.56152902078499	9.078357911848531	-0.23393196010749384	fit	-16.782836350515037	0.10666420227588279	0.6919334434003365
Houldcroft2014_EBV_qPCR	general::type2_compatible_env_units	general::type2_physical_units	fit	47	0.01733310391108043	0.01409429465551301	0.22545998810940066	-0.011090750174311069	0.04575695799647193	0.20464508045989122	fit	0.02163566628384908	0.1525500077165431	0.6919334434003365
Houldcroft2014_EBV_qPCR	general::type1_minus_type2_units		fit	47	0.005468176859550305	0.0044971113760891735	0.23064448113344546	-0.0036011125716674365	0.014537466290768047	0.16991587544628836	fit	0.00599106341675793	0.17076107625195314	0.6919334434003365
Mandage2017_EBV_in_silico	general::type2_compatible_rec_units	general::type2_physical_units	fit	116	0.06168992150202815	0.059235281087434796	0.2998949976242698	-0.055665853972804394	0.17904569697686068	0.17894534978967566	fit	0.048604618400447	0.4304217324437559	0.8497024932687645
Houldcroft2014_EBV_qPCR	general::type2_loci_present		fit	47	-0.005716521109647794	0.006145938213250573	0.35749644933624364	-0.018110986761246416	0.006677944541950827	-0.09786872998474866	fit	-0.005962199949598752	0.28258241572212106	0.9007583771185793
Mandage2017_EBV_in_silico	general::type2_compatible_pol_units	general::type2_physical_units	fit	116	-0.11506001647122603	0.1299519166155786	0.3778187238027764	-0.3725182013383021	0.14239816839585	-0.10773302252691315	fit	-0.035400320350323485	0.7983546224205125	0.9007583771185793
Im2012_intrinsic_growth	general::type1_compatible_pol_units	general::type1_physical_units	fit	34	-0.17416076662963997	0.19795416161465576	0.3859592772703554	-0.5784370985054552	0.23011556524617527	-0.15916592151089118	fit	-0.3684461400334219	0.14232101635147087	0.9007583771185793
Im2012_intrinsic_growth	general::type1_loci_present		fit	34	0.1952645288871657	0.24270236757650768	0.4274134882644835	-0.3003998314934345	0.690928889267766	0.16446480431869323	fit	0.18955081389116135	0.39633388081642196	0.9007583771185793
Houldcroft2014_EBV_qPCR	general::type1_type2_log_ratio		fit	47	0.08247243437511553	0.10395297359206879	0.4319225841596698	-0.12716871655454556	0.2921135853047766	0.08713266226349344	fit	0.08691159559502382	0.3842909782967544	0.9007583771185793
Houldcroft2014_EBV_qPCR	general::type1_fraction		fit	47	0.5288316465316545	0.6688607455671696	0.4334901387006538	-0.8200546014233627	1.8777178944866717	0.08701869359237589	fit	0.5599912915696064	0.3803571761655089	0.9007583771185793
Im2012_intrinsic_growth	general::type1_compatible_np9_units	general::type1_physical_units	fit	34	-0.2506571838773498	0.32138842575465715	0.441548224077735	-0.9070199135701015	0.40570554581540186	-0.30928883013132963	fit	-0.3690181703695866	0.2671397038418407	0.9007583771185793
Im2012_intrinsic_growth	general::type2_compatible_pro_units	general::type2_physical_units	fit	34	0.10172248088045385	0.14572544965822476	0.49052653785493927	-0.19588859113865117	0.39933355289955885	0.12488256849755158	fit	0.13037980380128286	0.45796216064603146	0.9621866704077655
Im2012_intrinsic_growth	general::type1_compatible_env_units	general::type1_physical_units	fit	34	0.20286450531359515	0.3378348790780181	0.5526933550372145	-0.4870863630053006	0.8928153736324909	0.16120720613119066	fit	0.3622164166164873	0.2949159160181641	0.9768690280444354
Im2012_intrinsic_growth	general::type1_physical_units		fit	34	0.07736415319644686	0.13217515518576756	0.5627129573411147	-0.19257352564678792	0.3473018320396816	0.12187539811662519	fit	0.054936128109272966	0.6702159749914358	0.9768690280444354
