outcome	exposure_id	old_p_pedigree_cluster	refit_model_status	refit_p_pedigree_cluster	refit_beta	refit_n	was_refit	analysis_p_pedigree_cluster	analysis_model_status	included_in_bh_family	bh_family_size	bh_exclusion_reason	q_bh_finite_model_suite
Im2012_intrinsic_growth	HML-2_10p12.1::orf::orf_pro	0.29155555708888	NA	NA	NA	NA	False	0.29155555708888	fit	True	174		0.900057168724704
Mandage2017_EBV_in_silico	general::type2_compatible_rec_units	0.181873248525096	fit	0.2998949976242698	0.06168992150202815	116.0	True	0.2998949976242698	fit	True	174		0.900057168724704
Houldcroft2014_EBV_qPCR	HML-2_5p13.3::orf::orf_secondary	0.300019056241568	NA	NA	NA	NA	False	0.300019056241568	fit	True	174		0.900057168724704
Mandage2017_EBV_in_silico	HML-2_1p36.21c::orf::orf_secondary	0.323044655270801	NA	NA	NA	NA	False	0.323044655270801	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::fully_compatible_units	0.328753346973618	NA	NA	NA	NA	False	0.328753346973618	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::max_haplotype_cn	0.334326596246314	NA	NA	NA	NA	False	0.334326596246314	fit	True	174		0.9162373183884095
Im2012_intrinsic_growth	HML-2_7p22.1::total_physical_cn	0.341034691761417	NA	NA	NA	NA	False	0.341034691761417	fit	True	174		0.9162373183884095
Mandage2017_EBV_in_silico	HML-2_11q22.1::structural::solo_ltr_vs_any_provirus	0.347439916836424	NA	NA	NA	NA	False	0.347439916836424	fit	True	174		0.9162373183884095
Mandage2017_EBV_in_silico	HML-2_11q22.1::structural::solo_ltr_vs_provirus	0.34905384174313	NA	NA	NA	NA	False	0.34905384174313	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	general::type2_loci_present	0.177998827661012	fit	0.35749644933624364	-0.005716521109647794	47.0	True	0.35749644933624364	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	HML-2_6q14.1::structural::solo_ltr_vs_any_provirus	0.365293535745606	NA	NA	NA	NA	False	0.365293535745606	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	HML-2_12q13.2::orf::orf_gag_pro	0.371473892885083	NA	NA	NA	NA	False	0.371473892885083	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	HML-2_12q13.2::orf::orf_pro	0.371473892885083	NA	NA	NA	NA	False	0.371473892885083	fit	True	174		0.9162373183884095
Mandage2017_EBV_in_silico	general::type2_compatible_pol_units	0.839080912039419	fit	0.3778187238027764	-0.11506001647122603	116.0	True	0.3778187238027764	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	HML-2_6q14.1::structural::solo_ltr_vs_provirus	0.379152702716471	NA	NA	NA	NA	False	0.379152702716471	fit	True	174		0.9162373183884095
Im2012_intrinsic_growth	HML-2_12q14.1::structural::solo_ltr_vs_any_provirus	0.383217747538706	NA	NA	NA	NA	False	0.383217747538706	fit	True	174		0.9162373183884095
Im2012_intrinsic_growth	HML-2_12q14.1::structural::solo_ltr_vs_provirus	0.383217747538706	NA	NA	NA	NA	False	0.383217747538706	fit	True	174		0.9162373183884095
Im2012_intrinsic_growth	general::type1_compatible_pol_units	0.721094053266106	fit	0.3859592772703554	-0.17416076662963997	34.0	True	0.3859592772703554	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	HML-2_12q14.1::structural::solo_ltr_vs_any_provirus	0.400139518826615	NA	NA	NA	NA	False	0.400139518826615	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	HML-2_12q14.1::structural::solo_ltr_vs_provirus	0.400139518826615	NA	NA	NA	NA	False	0.400139518826615	fit	True	174		0.9162373183884095
Mandage2017_EBV_in_silico	HML-2_1p31.1b::max_haplotype_cn	0.401575149370578	NA	NA	NA	NA	False	0.401575149370578	fit	True	174		0.9162373183884095
Im2012_intrinsic_growth	HML-2_19p12c::structural::provirus_vs_absent	0.424854114595056	NA	NA	NA	NA	False	0.424854114595056	fit	True	174		0.9162373183884095
Im2012_intrinsic_growth	general::type1_loci_present	0.556040644691198	fit	0.4274134882644835	0.1952645288871657	34.0	True	0.4274134882644835	fit	True	174		0.9162373183884095
Mandage2017_EBV_in_silico	HML-2_1q22::orf::orf_gag_pro_pol	0.430943150344412	NA	NA	NA	NA	False	0.430943150344412	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	general::type1_type2_log_ratio	0.312715286165396	fit	0.4319225841596698	0.08247243437511553	47.0	True	0.4319225841596698	fit	True	174		0.9162373183884095
Houldcroft2014_EBV_qPCR	general::type1_fraction	0.310757868530946	fit	0.4334901387006538	0.5288316465316545	47.0	True	0.4334901387006538	fit	True	174		0.9162373183884095
Im2012_intrinsic_growth	general::type1_compatible_np9_units	0.441548224077762	fit	0.441548224077735	-0.2506571838773498	34.0	True	0.441548224077735	fit	True	174		0.9162373183884095
Im2012_intrinsic_growth	HML-2_7p22.1::structural::multi_vs_single	0.442321464049577	fit	0.44232146404957245	0.21743434887142793	34.0	True	0.44232146404957245	fit	True	174		0.9162373183884095
Im2012_intrinsic_growth	HML-2_7p22.1::array_haplotype_count	0.442321464049577	NA	NA	NA	NA	False	0.442321464049577	fit	True	174		0.9162373183884095
Mandage2017_EBV_in_silico	HML-2_19p12b::structural::provirus_vs_absent	0.453369196232386	NA	NA	NA	NA	False	0.453369196232386	fit	True	174		0.9280734134639431
Houldcroft2014_EBV_qPCR	HML-2_1p36.21c::orf::orf_secondary	0.471737166843874	NA	NA	NA	NA	False	0.471737166843874	fit	True	174		0.9372879000413128
Mandage2017_EBV_in_silico	HML-2_1p31.1a::structural::solo_ltr_vs_provirus	0.486002720358039	NA	NA	NA	NA	False	0.486002720358039	fit	True	174		0.9372879000413128
Im2012_intrinsic_growth	general::type2_compatible_pro_units	0.476438764235025	fit	0.49052653785493927	0.10172248088045385	34.0	True	0.49052653785493927	fit	True	174		0.9372879000413128
Mandage2017_EBV_in_silico	HML-2_12q14.1::structural::solo_ltr_vs_any_provirus	0.491192652794575	NA	NA	NA	NA	False	0.491192652794575	fit	True	174		0.9372879000413128
Mandage2017_EBV_in_silico	HML-2_12q14.1::structural::solo_ltr_vs_provirus	0.491192652794575	NA	NA	NA	NA	False	0.491192652794575	fit	True	174		0.9372879000413128
Im2012_intrinsic_growth	HML-2_22q11.21::orf::orf_gag_pro	0.496968592325078	NA	NA	NA	NA	False	0.496968592325078	fit	True	174		0.9372879000413128
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::any_array	0.499941393527798	NA	NA	NA	NA	False	0.499941393527798	fit	True	174		0.9372879000413128
Im2012_intrinsic_growth	HML-2_1p36.21c::orf::orf_secondary	0.500964222435874	NA	NA	NA	NA	False	0.500964222435874	fit	True	174		0.9372879000413128
Mandage2017_EBV_in_silico	HML-2_10p12.1::structural::solo_ltr_vs_any_provirus	0.523348995353381	NA	NA	NA	NA	False	0.523348995353381	fit	True	174		0.9585550020156661
Mandage2017_EBV_in_silico	HML-2_10p12.1::structural::solo_ltr_vs_provirus	0.523348995353381	NA	NA	NA	NA	False	0.523348995353381	fit	True	174		0.9585550020156661
Houldcroft2014_EBV_qPCR	HML-2_1q22::orf::orf_pol	0.535103520747497	NA	NA	NA	NA	False	0.535103520747497	fit	True	174		0.9614224359065882
Mandage2017_EBV_in_silico	HML-2_12q13.2::structural::solo_ltr_vs_absent	0.542328924479502	NA	NA	NA	NA	False	0.542328924479502	fit	True	174		0.9614224359065882
Mandage2017_EBV_in_silico	HML-2_12q13.2::structural::solo_ltr_vs_provirus	0.543442355024399	NA	NA	NA	NA	False	0.543442355024399	fit	True	174		0.9614224359065882
Im2012_intrinsic_growth	general::type1_compatible_env_units	0.552693355037211	fit	0.5526933550372145	0.20286450531359515	34.0	True	0.5526933550372145	fit	True	174		0.9614224359065882
Im2012_intrinsic_growth	general::type1_physical_units	0.562712957341129	fit	0.5627129573411147	0.07736415319644686	34.0	True	0.5627129573411147	fit	True	174		0.9614224359065882
Mandage2017_EBV_in_silico	HML-2_19p12c::orf::orf_env	0.562796597805911	NA	NA	NA	NA	False	0.562796597805911	fit	True	174		0.9614224359065882
Mandage2017_EBV_in_silico	HML-2_5p13.3::orf::orf_env	0.563592462428	NA	NA	NA	NA	False	0.563592462428	fit	True	174		0.9614224359065882
Im2012_intrinsic_growth	HML-2_5p13.3::orf::orf_env	0.575119546571112	NA	NA	NA	NA	False	0.575119546571112	fit	True	174		0.9715611757609076
Houldcroft2014_EBV_qPCR	HML-2_1q22::orf::orf_gag	0.582646862361223	fit	0.5826468623612161	-0.014854489755539768	47.0	True	0.5826468623612161	fit	True	174		0.9748130197197269
Mandage2017_EBV_in_silico	HML-2_12q13.2::structural::any_provirus_vs_absent	0.597910582801413	NA	NA	NA	NA	False	0.597910582801413	fit	True	174		0.9814758623343948
Mandage2017_EBV_in_silico	HML-2_12q13.2::structural::provirus_vs_absent	0.597910582801413	NA	NA	NA	NA	False	0.597910582801413	fit	True	174		0.9814758623343948
Im2012_intrinsic_growth	HML-2_7p22.1::compatible_gag_units	0.622698536788111	NA	NA	NA	NA	False	0.622698536788111	fit	True	174		0.9825156698250391
Im2012_intrinsic_growth	general::type2_compatible_gag_units	0.718331364592945	fit	0.6447221375403258	-0.0735778909831533	34.0	True	0.6447221375403258	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_12q13.2::structural::retained_element_vs_absent	0.645962221996961	NA	NA	NA	NA	False	0.645962221996961	fit	True	174		0.9825156698250391
Houldcroft2014_EBV_qPCR	HML-2_7p22.1::total_physical_cn	0.662577261071565	NA	NA	NA	NA	False	0.662577261071565	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_5q33.3::structural::solo_ltr_vs_any_provirus	0.663297110120348	NA	NA	NA	NA	False	0.663297110120348	fit	True	174		0.9825156698250391
Im2012_intrinsic_growth	HML-2_5p13.3::orf::orf_secondary	0.663703999451449	NA	NA	NA	NA	False	0.663703999451449	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	general::type1_physical_units	0.65620508726968	fit	0.682328960548857	0.022333797172024702	116.0	True	0.682328960548857	fit	True	174		0.9825156698250391
Im2012_intrinsic_growth	general::type2_compatible_pol_units	0.350161997994573	fit	0.6902389148918134	-0.11459265862824401	34.0	True	0.6902389148918134	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_5q33.3::structural::solo_ltr_vs_provirus	0.693482878139203	NA	NA	NA	NA	False	0.693482878139203	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	general::type2_compatible_pro_units	0.761565951400497	fit	0.7000667591487146	-0.02810693606567257	116.0	True	0.7000667591487146	fit	True	174		0.9825156698250391
Im2012_intrinsic_growth	general::type2_compatible_env_units	0.621437729376302	fit	0.7047684508696915	0.08033259954413766	34.0	True	0.7047684508696915	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_1p31.1b::compatible_np9_units	0.710705894015313	NA	NA	NA	NA	False	0.710705894015313	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_1p31.1b::total_internal_fragment_cn	0.710705894015313	NA	NA	NA	NA	False	0.710705894015313	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_1p31.1b::compatible_env_units	0.717877815982396	NA	NA	NA	NA	False	0.717877815982396	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	general::type1_compatible_np9_units	0.67749200519546	fit	0.7302245552922653	0.03938896980489329	116.0	True	0.7302245552922653	fit	True	174		0.9825156698250391
Houldcroft2014_EBV_qPCR	HML-2_3q13.2::structural::solo_ltr_vs_any_provirus	0.731039156774917	NA	NA	NA	NA	False	0.731039156774917	fit	True	174		0.9825156698250391
Houldcroft2014_EBV_qPCR	HML-2_3q13.2::structural::solo_ltr_vs_provirus	0.73484010222711	NA	NA	NA	NA	False	0.73484010222711	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_11q23.3::structural::solo_ltr_vs_any_provirus	0.746074638768553	NA	NA	NA	NA	False	0.746074638768553	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_11q23.3::structural::solo_ltr_vs_provirus	0.746074638768553	NA	NA	NA	NA	False	0.746074638768553	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	general::type1_compatible_pol_units	0.65604958179905	fit	0.7590132647811683	0.04038367975220221	116.0	True	0.7590132647811683	fit	True	174		0.9825156698250391
Mandage2017_EBV_in_silico	HML-2_7p22.1::max_haplotype_cn	0.759587487377293	NA	NA	NA	NA	False	0.759587487377293	fit	True	174		0.9825156698250391
